2026-05-04 10:42:42,321 - Bounce Top
2026-05-04 10:42:42,339 - Bounce Right
2026-05-04 10:42:42,371 - Bounce Top
2026-05-04 10:42:42,422 - Bounce Top
2026-05-04 10:42:42,439 - Bounce Top
2026-05-04 10:42:42,455 - Bounce Right
2026-05-04 10:42:42,455 - Bounce Top
2026-05-04 10:42:42,456 - Bounce Right
2026-05-04 10:42:42,487 - Bounce Top
2026-05-04 10:42:42,488 - Bounce Top
2026-05-04 10:42:42,505 - Bounce Right
2026-05-04 10:42:42,505 - Bounce Left
2026-05-04 10:42:42,521 - Bounce Top
2026-05-04 10:42:42,521 - Bounce Top
2026-05-04 10:42:42,522 - Bounce Bottom
2026-05-04 10:42:42,538 - Bounce Bottom
2026-05-04 10:42:42,557 - Bounce Top
2026-05-04 10:42:42,638 - Bounce Top
2026-05-04 10:42:42,655 - Bounce Right
2026-05-04 10:42:42,656 - Bounce Top
2026-05-04 10:42:42,671 - Bounce Left
2026-05-04 10:42:42,688 - Bounce Right
2026-05-04 10:42:42,723 - Bounce Top
2026-05-04 10:42:42,724 - Bounce Right
2026-05-04 10:42:42,738 - Bounce Left
2026-05-04 10:42:42,739 - Bounce Right
2026-05-04 10:42:42,755 - Bounce Right
2026-05-04 10:42:42,771 - Bounce Bottom
2026-05-04 10:42:42,790 - Bounce Left
2026-05-04 10:42:42,823 - Bounce Top
2026-05-04 10:42:42,838 - Bounce Bottom
2026-05-04 10:42:42,875 - Bounce Top
2026-05-04 10:42:42,893 - Bounce Bottom
2026-05-04 10:42:42,908 - Bounce Left
2026-05-04 10:42:42,959 - Bounce Left
2026-05-04 10:42:43,012 - Bounce Bottom
2026-05-04 10:42:43,027 - Bounce Top
2026-05-04 10:42:43,059 - Bounce Left
2026-05-04 10:42:43,074 - Bounce Bottom
2026-05-04 10:42:43,091 - Bounce Bottom
2026-05-04 10:42:43,092 - Bounce Right
2026-05-04 10:42:43,107 - Bounce Bottom
2026-05-04 10:42:43,108 - Bounce Top
2026-05-04 10:42:43,141 - Bounce Bottom
2026-05-04 10:42:43,170 - Bounce Bottom
2026-05-04 10:42:43,172 - Bounce Bottom
2026-05-04 10:42:43,205 - Bounce Top
2026-05-04 10:42:43,206 - Bounce Bottom
2026-05-04 10:42:43,221 - Bounce Left
2026-05-04 10:42:43,259 - Bounce Left
2026-05-04 10:42:43,262 - Bounce Bottom
2026-05-04 10:42:43,296 - Bounce Right
2026-05-04 10:42:43,327 - Bounce Bottom
2026-05-04 10:42:43,357 - Bounce Bottom
2026-05-04 10:42:43,358 - Bounce Bottom
2026-05-04 10:42:43,359 - Bounce Bottom
2026-05-04 10:42:43,360 - Bounce Right
2026-05-04 10:42:43,406 - Bounce Left
2026-05-04 10:42:43,438 - Bounce Bottom
2026-05-04 10:42:43,454 - Bounce Bottom
2026-05-04 10:42:43,474 - Bounce Bottom
2026-05-04 10:42:43,491 - Bounce Left
2026-05-04 10:42:43,507 - Bounce Top
2026-05-04 10:42:43,509 - Bounce Bottom
2026-05-04 10:42:43,541 - Bounce Bottom
2026-05-04 10:42:43,588 - Bounce Bottom
2026-05-04 10:42:43,588 - Bounce Bottom
2026-05-04 10:42:43,588 - Bounce Right
2026-05-04 10:42:43,588 - Bounce Bottom
2026-05-04 10:42:43,605 - Bounce Right
2026-05-04 10:42:43,605 - Bounce Left
2026-05-04 10:42:43,605 - Bounce Bottom
2026-05-04 10:42:43,636 - Bounce Left
2026-05-04 10:42:43,671 - Bounce Right
2026-05-04 10:42:43,706 - Bounce Left
2026-05-04 10:42:43,739 - Bounce Bottom
2026-05-04 10:42:43,772 - Bounce Left
2026-05-04 10:42:43,773 - Bounce Right
2026-05-04 10:42:43,773 - Bounce Top
2026-05-04 10:42:43,773 - Bounce Right
2026-05-04 10:42:43,805 - Bounce Top
2026-05-04 10:42:43,857 - Bounce Top
2026-05-04 10:42:43,857 - Bounce Top
2026-05-04 10:42:43,872 - Bounce Right
2026-05-04 10:42:43,873 - Bounce Bottom
2026-05-04 10:42:43,891 - Bounce Left
2026-05-04 10:42:43,905 - Bounce Left
2026-05-04 10:42:43,922 - Bounce Left
2026-05-04 10:42:43,937 - Bounce Bottom
2026-05-04 10:42:43,938 - Bounce Bottom
2026-05-04 10:42:44,024 - Bounce Left
2026-05-04 10:42:44,040 - Bounce Left
2026-05-04 10:42:44,105 - Bounce Right
2026-05-04 10:42:44,109 - Bounce Right
2026-05-04 10:42:44,123 - Bounce Top
2026-05-04 10:42:44,153 - Bounce Right
2026-05-04 10:42:44,156 - Bounce Right
2026-05-04 10:42:44,173 - Bounce Top
2026-05-04 10:42:44,189 - Bounce Top
2026-05-04 10:42:44,204 - Bounce Left
2026-05-04 10:42:44,206 - Bounce Top
2026-05-04 10:42:44,223 - Bounce Right
2026-05-04 10:42:44,288 - Bounce Left
2026-05-04 10:42:44,289 - Bounce Bottom
2026-05-04 10:42:44,303 - Bounce Right
2026-05-04 10:42:44,307 - Bounce Right
2026-05-04 10:42:44,319 - Bounce Bottom
2026-05-04 10:42:44,357 - Bounce Right
2026-05-04 10:42:44,370 - Bounce Top
2026-05-04 10:42:44,372 - Bounce Bottom
2026-05-04 10:42:44,388 - Bounce Top
2026-05-04 10:42:44,408 - Bounce Left
2026-05-04 10:42:44,419 - Bounce Top
2026-05-04 10:42:44,421 - Bounce Left
2026-05-04 10:42:44,422 - Bounce Bottom
2026-05-04 10:42:44,422 - Bounce Top
2026-05-04 10:42:44,436 - Bounce Top
2026-05-04 10:42:44,438 - Bounce Left
2026-05-04 10:42:44,486 - Bounce Left
2026-05-04 10:42:44,504 - Bounce Top
2026-05-04 10:42:44,507 - Bounce Top
2026-05-04 10:42:44,519 - Bounce Bottom
2026-05-04 10:42:44,520 - Bounce Bottom
2026-05-04 10:42:44,536 - Bounce Top
2026-05-04 10:42:44,537 - Bounce Top
2026-05-04 10:42:44,566 - Bounce Top
2026-05-04 10:42:44,582 - Bounce Right
2026-05-04 10:42:44,599 - Bounce Bottom
2026-05-04 10:42:44,615 - Bounce Bottom
2026-05-04 10:42:44,667 - Bounce Bottom
2026-05-04 10:42:44,684 - Bounce Right
2026-05-04 10:42:44,697 - Bounce Right
2026-05-04 10:42:44,698 - Bounce Top
2026-05-04 10:42:44,712 - Bounce Bottom
2026-05-04 10:42:44,714 - Bounce Top
2026-05-04 10:42:44,729 - Bounce Bottom
2026-05-04 10:42:44,731 - Bounce Left
2026-05-04 10:42:44,779 - Bounce Top
2026-05-04 10:42:44,780 - Bounce Left
2026-05-04 10:42:44,828 - Bounce Bottom
2026-05-04 10:42:44,830 - Bounce Top
2026-05-04 10:42:44,879 - Bounce Left
2026-05-04 10:42:44,894 - Bounce Bottom
2026-05-04 10:42:44,944 - Bounce Right
2026-05-04 10:42:44,945 - Bounce Right
